DB Class Key	Common Organism Name	NCBI Taxon ID	Symbol	EntrezGene ID	Mouse MGI ID	HGNC ID	OMIM Gene ID	Genetic Location	Genome Coordinates (mouse: GRCm39 human: GRCh38)	Nucleotide RefSeq IDs	Protein RefSeq IDs	SWISS_PROT IDs
52066669	mouse, laboratory	10090	Plxnb2	140570	MGI:2154239			Chr15 44.68 cM	Chr15:89039752-89064960(-)	NM_001416431,NM_001416435,NM_001416436,NM_001416425,NM_001416433,NM_001416434,NM_001159521,NM_001416432,NM_001416430,NM_001284506,NM_138749,NM_001416428,NM_001416429,NM_001416437,NM_001416426,NM_001416427,XM_030248318	NP_001271435,NP_001403360,NP_001403361,NP_001403364,XP_030104178,NP_001403365,NP_001403354,NP_001403362,NP_001403363,NP_620088,NP_001403355,NP_001403366,NP_001403356,NP_001403357,NP_001403358,NP_001403359,NP_001152993	B2RXS4
52066669	human	9606	PLXNB2	23654		HGNC:9104	OMIM:604293	Chr22 q13.33	Chr22:50274978-50307695(-)	NM_001376877,NM_012401,NM_001376886,NM_001376885,NM_001376884,NM_001376883,NM_001376882,NM_001376881,NM_001376880,NM_001376879,NM_001376873,NM_001376874,NM_001376875,NM_001376876,NM_001376878,NM_001376864,NM_001376865,NM_001376866,NM_001376867,NM_001376868,NM_001376869,NM_001376870,NM_001376871,NM_001376872	NP_001363797,NP_036533,XP_011528984,XP_047297217,XP_047297218,XP_047297219,XP_047297220,XP_047297221,NP_001363793,NP_001363794,XP_047297222,XP_054181374,XP_054181375,NP_001363795,NP_001363796,NP_001363798,NP_001363799,NP_001363800,NP_001363801,XP_054181376,XP_054181377,XP_054181378,XP_054181379,NP_001363803,NP_001363804,NP_001363805,NP_001363806,NP_001363807,NP_001363808,NP_001363809,NP_001363810,NP_001363811,NP_001363812,NP_001363813,NP_001363814,NP_001363802,NP_001363815	O15031
52066670	mouse, laboratory	10090	Kctd4	67516	MGI:1914766			Chr14 40.3 cM	Chr14:76192443-76202657(+)	NM_026214	NP_080490	Q9D7X1
52066670	human	9606	KCTD4	386618		HGNC:23227	OMIM:620638	Chr13 q14.12-q14.13	Chr13:45192853-45201045(-)	NM_198404	NP_940686	Q8WVF5
52066671	mouse, laboratory	10090	Pex26	74043	MGI:1921293			Chr6 57.13 cM	Chr6:121160626-121175796(+)	NM_001304773,NM_028730,NM_001304774,XM_036152361,XM_006506703,XM_017321782	NP_001291703,XP_036008254,XP_017177271,NP_083006,NP_001291702,XP_006506766	Q8BGI5
52066671	human	9606	PEX26	55670		HGNC:22965	OMIM:608666	Chr22 q11.21	Chr22:18077923-18105396(+)	NM_017929,NM_001127649,NM_001199319	NP_001121121,NP_001186248,NP_060399	Q7Z412
52066672	mouse, laboratory	10090	Ficd	231630	MGI:1098550			Chr5 55.55 cM	Chr5:113873864-113878661(+)	NM_001010825,XM_006530286,XM_006530285	NP_001010825,XP_006530348,XP_006530349	Q8BIX9
52066672	human	9606	FICD	11153		HGNC:18416	OMIM:620875	Chr12 q23.3	Chr12:108513710-108525837(+)	NM_007076	NP_009007	Q9BVA6
52066673	mouse, laboratory	10090	Smim7	66818	MGI:1914068			Chr8 35.08 cM	Chr8:73319042-73324892(-)	NM_172396	NP_765984	Q5RKS2
52066673	human	9606	SMIM7	79086		HGNC:28419		Chr19 p13.11	Chr19:16630751-16660442(-)	NM_001300925,NM_024104	XP_054178089,NP_001287854,NP_077009,XP_047295370,XP_047295371,XP_047295372,XP_047295373,XP_047295374	Q9BQ49
52066674	mouse, laboratory	10090	Cox7b	66142	MGI:1913392			ChrX 47.36 cM	ChrX:105059306-105066056(+)	NM_025379	NP_079655	P56393
52066674	human	9606	COX7B	1349		HGNC:2291	OMIM:300885	ChrX q21.1	ChrX:77895727-77907376(+)	NM_001866	NP_001857	P24311
52066675	mouse, laboratory	10090	Cox7b2	78174	MGI:1925424			Chr5 37.98 cM	Chr5:71600167-71705548(-)	NM_030052	NP_084328	
52066675	human	9606	COX7B2	170712		HGNC:24381	OMIM:609811	Chr4 p12	Chr4:46734827-46909245(-)	NM_130902	XP_011511937,NP_570972,XP_005248113,XP_011511932,XP_011511933,XP_011511934,XP_011511935,XP_011511936,XP_011511940,XP_047305676,XP_047305677,XP_054205108,XP_054205109,XP_054205110,XP_054205111,XP_054205112,XP_054205113,XP_054205114,XP_054205115,XP_054205116,XP_054205117	Q8TF08
52066676	mouse, laboratory	10090	Rdh14	105014	MGI:1920402			Chr12 5.29 cM	Chr12:10440772-10445562(+)	XM_006514943,NM_023697	NP_076186,XP_006515006	Q9ERI6
52066676	human	9606	RDH14	57665		HGNC:19979	OMIM:616796	Chr2 p24.2	Chr2:18554723-18560679(-)	NM_020905	NP_065956	Q9HBH5
52066677	mouse, laboratory	10090	Med21	108098	MGI:1347064			Chr6 77.7 cM	Chr6:146544077-146552098(+)	NM_025315	NP_079591	Q9CQ39
52066677	human	9606	MED21	9412		HGNC:11473	OMIM:603800	Chr12 p11.23	Chr12:27022546-27066343(+)	NM_001271811,NM_004264	XP_047285860,XP_047285862,NP_004255,XP_047285863,XP_047285861,NP_001258740	Q13503
52066678	mouse, laboratory	10090	Ddx6	13209	MGI:104976			Chr9 24.84 cM	Chr9:44516189-44552028(+)	NM_181324,NM_001434363,NM_001357702,NM_001434365,NM_001357703,NM_001434366,NM_001434361,NM_001434362,NM_001110826,NM_007841,NM_001434367,NM_001434368,XM_030244042,XM_011242391,NM_001434364	NP_001421293,NP_031867,NP_001104296,NP_001421296,NP_001421297,NP_851841,NP_001421292,NP_001421294,NP_001421295,NP_001344632,NP_001421290,NP_001344631,NP_001421291,XP_030099902,XP_011240693	P54823
52066678	human	9606	DDX6	1656		HGNC:2747	OMIM:600326	Chr11 q23.3	Chr11:118747763-118791744(-)	NM_004397,NM_001257191,NM_001425145,NM_001425146,NM_001425147,NM_001425148,NM_001425149,NM_001425150,NM_001425151,NM_001425152,NM_001425153,NM_001425154	XP_054223857,NP_001244120,NP_001412074,NP_001412075,NP_001412076,NP_001412077,NP_001412078,NP_001412079,NP_001412080,NP_001412081,NP_001412082,NP_001412083,NP_004388,XP_047282444	P26196
52066679	mouse, laboratory	10090	Mthfd1l	270685	MGI:1924836			Chr10 2.06 cM	Chr10:3923118-4117081(+)	XM_036155795,NM_001170786,XM_036155796,NM_001170785,NM_172308	NP_001164257,NP_001164256,XP_036011689,XP_036011688,NP_758512	Q3V3R1
52066679	human	9606	MTHFD1L	25902		HGNC:21055	OMIM:611427	Chr6 q25.1	Chr6:150865679-151101887(+)	NM_001350486,NM_001242768,NM_001350488,NM_001350491,NM_001242769,NM_001350487,NM_001350489,NM_001350490,NM_015440,NM_001350493,NM_001350492,NM_001242767	XP_054211087,XP_005266968,XP_011534031,XP_011534032,XP_011534033,XP_011534034,XP_011534035,XP_011534039,XP_011534040,XP_016866191,XP_016866192,XP_024302163,XP_024302164,XP_047274565,XP_047274566,XP_047274567,XP_047274568,XP_047274569,XP_047274570,XP_047274571,XP_047274572,XP_047274573,XP_047274574,XP_047274575,XP_054211073,XP_054211074,XP_054211075,XP_054211076,XP_054211077,XP_054211078,XP_054211079,XP_054211080,XP_054211081,XP_054211082,XP_054211083,XP_054211084,XP_054211085,XP_054211086,XP_054211088,XP_054211089,XP_054211090,XP_054211091,XP_054211092,XP_054211093,XP_054211094,NP_001229696,NP_001229697,NP_001229698,NP_001337415,NP_001337416,NP_001337417,NP_001337418,NP_001337419,NP_001337420,NP_001337421,NP_001337422,NP_056255,XP_005266964	Q6UB35
52066680	mouse, laboratory	10090	Uqcr11	66594	MGI:1913844			Chr10 39.72 cM	Chr10:80238831-80242655(-)	NM_025650	NP_079926	Q9CPX8
52066680	human	9606	UQCR11	10975		HGNC:30862	OMIM:609711	Chr19 p13.3	Chr19:1597154-1605500(-)	NM_006830	NP_006821	O14957
52066681	mouse, laboratory	10090	Hoxd11	15431	MGI:96203			Chr2 44.13 cM	Chr2:74509902-74517360(+)	NM_008273	NP_032299	P23813
52066681	human	9606	HOXD11	3237		HGNC:5134	OMIM:142986	Chr2 q31.1	Chr2:176104216-176115679(+)	NM_021192	NP_067015	P31277
52066682	mouse, laboratory	10090	Wdr48	67561	MGI:1914811			Chr9 71.33 cM	Chr9:119723961-119755652(+)	NM_026236,NM_001417835,NM_001417836	NP_001404764,NP_001404765,NP_080512	Q8BH57
52066682	human	9606	WDR48	57599		HGNC:30914	OMIM:612167	Chr3 p22.2	Chr3:39051999-39096671(+)	NM_001303402,NM_020839,NM_001346228,NM_001346227,NM_001346226,NM_001346225,NM_001303403	XP_054203379,XP_005265403,NP_065890,NP_001333157,NP_001333156,NP_001333155,NP_001333154,NP_001290332,NP_001290331	Q8TAF3
52066683	mouse, laboratory	10090	Fpgs	14287	MGI:95576			Chr2 22.09 cM	Chr2:32572621-32594157(-)	NM_001420096,NM_001420095,NM_001420097,NM_010236	NP_034366,NP_001407025,NP_001407026,NP_001407024	P48760
52066683	human	9606	FPGS	2356		HGNC:3824	OMIM:136510	Chr9 q34.11	Chr9:127794597-127814506(+)	NM_001018078,NM_004957,NM_001288803	XP_054218546,NP_001018088,NP_001275732,NP_004948,XP_005251921,XP_047279082,XP_047279083,XP_054218547,XP_054218548	Q05932
52066684	mouse, laboratory	10090	Gtsf1	74174	MGI:1921424			Chr15 58.93 cM	Chr15:103310885-103338872(-)	XM_006521491,XM_128158,NM_028797,XM_011245749,XM_011245750,XM_011245751	NP_083073,XP_006521554,XP_011244051,XP_011244052,XP_011244053	Q9DAN6
52066684	human	9606	GTSF1	121355		HGNC:26565	OMIM:617484	Chr12 q13.13	Chr12:54455950-54473602(-)	NM_144594	XP_016874289,XP_054227055,XP_054227054,XP_024304602,NP_653195	Q8WW33
52066685	mouse, laboratory	10090	Aplp2	11804	MGI:88047			Chr9 16.66 cM	Chr9:31060853-31123111(-)	NM_001102455,NM_009691,XM_006509952,NM_001357698,NM_001102456	NP_001344627,NP_033821,NP_001095926,NP_001095925,XP_006510015	Q06335
52066685	human	9606	APLP2	334		HGNC:598	OMIM:104776	Chr11 q24.3	Chr11:130068147-130144811(+)	NM_001328685,NM_001382536,NM_001328686,NM_001382526,NM_001142276,NM_001382537,NM_001382538,NM_001382533,NM_001382532,NM_001382539,NM_001382540,NM_001382541,NM_001382531,NM_001382530,NM_001382529,NM_001382527,NM_001328682,NM_001142277,NM_001328684,NM_001142278,NM_001243299,NM_001382528,NM_001642,NM_001382546,NM_001382542,NM_001382543,NM_001382544,NM_001382545,NM_001382534,NM_001382535	NP_001135749,NP_001633,NP_001369475,NP_001369474,NP_001369473,NP_001369472,NP_001369471,NP_001369470,NP_001369469,NP_001369468,NP_001369467,NP_001369466,NP_001369465,NP_001369464,NP_001369463,NP_001369462,NP_001369461,NP_001369460,NP_001369459,NP_001369458,NP_001369457,NP_001369456,NP_001369455,NP_001315615,NP_001315614,NP_001315613,NP_001315611,NP_001230228,NP_001135750,NP_001135748	Q06481
52066686	mouse, laboratory	10090	Rprd2	75137	MGI:1922387			Chr3 41 cM	Chr3:95667653-95726175(-)	XM_030252863,NM_028328,NM_001368179,NM_001368178,NM_001368180,NM_001081293,XM_011240267,NM_001368181	XP_011238569,XP_030108723,NP_001355107,NP_001074762,NP_001355110,NP_082604,NP_001355108,NP_001355109	Q6NXI6
52066686	human	9606	RPRD2	23248		HGNC:29039	OMIM:614695	Chr1 q21.2	Chr1:150363091-150476566(+)	NM_001387114,NM_001387115,NM_001387116,NM_001387117,NM_001387118,NM_001387119,NM_001387120,NM_001387121,NM_001387122,NM_001387123,NM_001387124,NM_015203,NM_001297673,NM_001297674	NP_001284602,NP_001284603,NP_001374043,NP_001374044,NP_001374045,NP_001374046,NP_001374047,NP_001374048,NP_001374049,NP_001374050,NP_001374051,NP_001374052,NP_001374053,NP_056018,XP_047271743,XP_047271744,XP_054191369,XP_054191370	Q5VT52
52066687	mouse, laboratory	10090	Rcvrn	19674	MGI:97883			Chr11 41.13 cM	Chr11:67586152-67594159(+)	NM_009038	NP_033064	P34057
52066687	human	9606	RCVRN	5957		HGNC:9937	OMIM:179618	Chr17 p13.1	Chr17:9896320-9905271(-)	NM_002903	NP_002894	P35243
52066688	mouse, laboratory	10090	Tapbpl	213233	MGI:2384853			Chr6 59.32 cM	Chr6:125200896-125208823(-)	XM_030255302,NM_145391	NP_663366,XP_030111162	Q8VD31
52066688	human	9606	TAPBPL	55080		HGNC:30683	OMIM:607081	Chr12 p13.31	Chr12:6451649-6472006(+)	NM_001351355,NM_018009	NP_060479,NP_001338284	Q9BX59
52066689	mouse, laboratory	10090	Arhgef17	207212	MGI:2673002			Chr7 54.45 cM	Chr7:100518959-100581314(-)	XM_133692	NP_001074585	Q80U35
52066689	human	9606	ARHGEF17	9828		HGNC:21726	OMIM:617043	Chr11 q13.4	Chr11:73308276-73369388(+)	NM_014786	NP_055601	Q96PE2
52066690	mouse, laboratory	10090	Ptpn1	19246	MGI:97805			Chr2 87.99 cM	Chr2:167773977-167821305(+)	XM_036159687,NM_011201,XM_036159686,XM_006498981	XP_036015580,XP_036015579,XP_006499044,NP_035331	P35821
52066690	human	9606	PTPN1	5770		HGNC:9642	OMIM:176885	Chr20 q13.13	Chr20:50510321-50585241(+)	NM_001278618,NM_002827	NP_002818,NP_001265547	P18031
52066691	mouse, laboratory	10090	Lactbl1	242707	MGI:2448566			Chr4 68.94 cM	Chr4:136349932-136366421(+)	XM_205950,XM_036164131	XP_036020024,NP_001230191	
52066691	human	9606	LACTBL1	646262		HGNC:35445		Chr1 p36.12	Chr1:22953043-22972866(-)	NM_001289974	NP_001276903	A8MY62
52066692	mouse, laboratory	10090	Gnat1	14685	MGI:95778			Chr9 58.86 cM	Chr9:107551636-107556833(-)	NM_008140	NP_032166	P20612
52066692	human	9606	GNAT1	2779		HGNC:4393	OMIM:139330	Chr3 p21.31	Chr3:50191610-50197696(+)	NM_144499,NM_000172	NP_000163,NP_653082	P11488
52066693	mouse, laboratory	10090	Plekhb1	27276	MGI:1351469			Chr7 54.36 cM	Chr7:100292099-100311621(-)	NM_001291336,NM_001163186,NM_001163185,NM_001163182,NM_001163183,NM_001163184,NM_001163187,XM_036153149,XM_006507906,XM_036153147,XM_036153148,NM_013746	NP_001156657,NP_001156658,NP_001156654,XP_036009040,NP_001156656,NP_001278265,NP_038774,NP_001156659,XP_036009041,XP_036009042,XP_006507969,NP_001156655	Q9QYE9
52066693	human	9606	PLEKHB1	58473		HGNC:19079	OMIM:607651	Chr11 q13.4	Chr11:73646178-73662819(+)	NM_021200,NM_001130036,NM_001130033,NM_001130034,NM_001130035	XP_054225541,XP_054225540,XP_011543495,XP_011543494,NP_067023,NP_001123508,NP_001123507,NP_001123506,NP_001123505	Q9UF11
52066694	mouse, laboratory	10090	Opa1	74143	MGI:1921393			Chr16 20.65 cM	Chr16:29398152-29473702(+)	NM_001199177,XM_006522655,NM_133752,NM_001403182,NM_001403171,NM_001403170,XM_006522656,NM_001403172	NP_001390100,XP_006522719,NP_001390101,NP_598513,NP_001186106,XP_006522718,NP_001390099,NP_001390111	P58281
52066694	human	9606	OPA1	4976		HGNC:8140	OMIM:605290	Chr3 q29	Chr3:193593144-193697811(+)	NM_130835,NM_130834,NM_130833,NM_130832,NM_130831,NM_001354663,NM_001354664,NM_015560,NM_130837,NM_130836	XP_054202637,XP_054202636,XP_054202635,XP_054202634,XP_054202633,XP_054202632,XP_054202631,XP_054202630,XP_047304172,XP_047304170,XP_047304169,XP_047304168,XP_047304167,XP_047304166,XP_047304165,XP_047304164,XP_047304163,XP_047304162,NP_570850,NP_570849,NP_570848,NP_570847,NP_570846,NP_570845,NP_570844,NP_056375,NP_001341593,NP_001341592,XP_054202638,XP_054202639,XP_054202640,XP_054202641,XP_054202642,XP_054202643	O60313
52066695	mouse, laboratory	10090	Rapgef5	217944	MGI:2444365			Chr12 63.06 cM	Chr12:117480146-117723472(+)	XM_030246682,NM_175930,XM_036157373,NM_001373989	XP_030102542,NP_787126,XP_036013266,NP_001360918	Q8C0Q9
52066695	human	9606	RAPGEF5	9771		HGNC:16862	OMIM:609527	Chr7 p15.3	Chr7:22118236-22357154(-)	NM_001367600,NM_001367603,NM_001367601,NM_001367602,NM_012294	NP_036426,NP_001354529,NP_001354530,NP_001354531,NP_001354532,XP_011513954,XP_016868326,XP_047277039,XP_047277040,XP_054215396,XP_054215397	Q92565
52066696	mouse, laboratory	10090	Qsox1	104009	MGI:1330818			Chr1 67.64 cM	Chr1:155653901-155688645(-)	NM_023268,NM_001024945	NP_001020116,NP_075757	Q8BND5
52066696	human	9606	QSOX1	5768		HGNC:9756	OMIM:603120	Chr1 q25.2	Chr1:180154869-180204030(+)	NM_001004128,NM_002826	XP_047282186,NP_001004128,XP_054193878,NP_002817	O00391
52066697	mouse, laboratory	10090	Fbn1	14118	MGI:95489			Chr2 61.38 cM	Chr2:125142514-125348417(-)	XM_006498747,XM_036158280,NM_007993	XP_036014173,XP_006498810,NP_032019	Q61554
52066697	human	9606	FBN1	2200		HGNC:3603	OMIM:134797	Chr15 q21.1	Chr15:48408313-48645721(-)	NM_001406718,NM_001406716,NM_001406717,NM_000138	NP_001393646,NP_000129,NP_001393645,NP_001393647	P35555
52066698	mouse, laboratory	10090	Crem	12916	MGI:88495			Chr18 2.14 cM	Chr18:3266048-3337748(-)	XM_036160964,XM_030250302,XM_006525570,XM_030250300,XM_006525575,XM_030250306,XM_006525574,XM_030250305,NM_001110850,NM_001271503,XM_006525573,XM_017317808,XM_030250303,XM_036160965,XM_036160966,XM_036160963,NM_001110854,NM_001110855,NM_001374833,XM_036160962,NM_001110856,NM_001110857,NM_001110858,NM_001110859,NM_001311066,NM_001311067,NM_013498,XM_036160960,NM_001271506,XM_036160969,XM_036160967,XM_036160968,XM_011246820,XM_006525565,XM_006525566,XM_006525567,XM_006525568,XM_006525561,XM_030250315,XM_006525562,XM_006525563,XM_006525564,XM_030250310,XM_030250311,XM_006525580,XM_030250313,XM_006525560,XM_030250308,NM_001110851,NM_001271505,NM_001110852,NM_001110853,NM_001271504,XM_030250309,XM_036160959,XM_006525559,XM_006525576,XM_006525554,XM_006525555,XM_006525556,XM_006525579,XM_006525557,XM_030250301	XP_030106163,XP_006525643,XP_030106162,XP_030106161,XP_030106160,XP_006525642,XP_006525620,XP_017173297,XP_036016852,XP_036016853,XP_036016855,XP_036016856,XP_036016857,XP_036016858,XP_036016859,XP_006525629,XP_006525627,XP_006525622,NP_001104325,NP_001104328,NP_001104329,NP_001361762,NP_038526,NP_001258435,NP_001258434,NP_001258433,NP_001258432,NP_001297996,NP_001297995,NP_001104321,NP_001104320,NP_001104323,NP_001104326,NP_001104327,NP_001104322,NP_001104324,XP_030106175,XP_030106173,XP_006525633,XP_006525630,XP_030106171,XP_006525631,XP_030106170,XP_036016860,XP_011245122,XP_036016861,XP_036016862,XP_006525618,XP_006525619,XP_030106169,XP_006525638,XP_030106168,XP_006525639,XP_006525617,XP_006525636,XP_030106166,XP_006525637,XP_030106165,XP_006525623,XP_006525624,XP_006525628,XP_006525625,XP_006525626	P27699
52066698	human	9606	CREM	1390		HGNC:2352	OMIM:123812	Chr10 p11.21	Chr10:35126791-35212958(+)	NM_001394623,NM_001267562,NM_001267563,NM_001267564,NM_001267565,NM_001267566,NM_001267567,NM_001267568,NM_001267569,NM_001267570,NM_001352445,NM_001352446,NM_001352465,NM_001352466,NM_001352467,NM_001394595,NM_001394598,NM_001394600,NM_001394602,NM_001394603,NM_001394605,NM_001394608,NM_001394610,NM_001394613,NM_001394614,NM_001394615,NM_001394616,NM_001394617,NM_001394618,NM_001394619,NM_001394620,NM_001394621,NM_001394622,NM_001394625,NM_001394626,NM_001394627,NM_001394628,NM_001394629,NM_001394630,NM_001394631,NM_001881,NM_181571,NM_182717,NM_182718,NM_182719,NM_182720,NM_182721,NM_182722,NM_182723,NM_182724,NM_182725,NM_182769,NM_182770,NM_182771,NM_182772,NM_182850,NM_182853,NM_183011,NM_183012,NM_183013,NM_183060	NP_001381544,NP_001254491,NP_001254492,NP_001254493,NP_001254494,NP_001254495,NP_001254496,NP_001254497,NP_001254498,NP_001254499,NP_001339374,NP_001339375,NP_001339394,NP_001339395,NP_001339396,NP_001381524,NP_001381527,NP_001381529,NP_001381531,NP_001381532,NP_001381534,NP_001381537,NP_001381539,NP_001381542,NP_001381543,NP_001381545,NP_001381546,NP_001381547,NP_001381548,NP_001381549,NP_001381550,NP_001381551,NP_001381552,NP_001381554,NP_001381555,NP_001381556,NP_001381557,NP_001381558,NP_001381559,NP_001381560,NP_001872,NP_853549,NP_874386,NP_874387,NP_874388,NP_874389,NP_874390,NP_874392,NP_874393,NP_877570,NP_877571,NP_877572,NP_877573,NP_898829,NP_898830,NP_898831,NP_898883,XP_006717445,XP_006717450,XP_011517626,XP_011517627,XP_011517632,XP_011517633,XP_011517634,XP_011517635,XP_011517637,XP_016871220,XP_024303592,XP_047280581,XP_047280582,XP_047280583,XP_047280584,XP_047280585,XP_047280586,XP_047280587,XP_047280588,XP_047280589,XP_047280590,XP_047280591,XP_047280592,XP_047280593,XP_054220811,XP_054220812,XP_054220813,XP_054220814,XP_054220815,XP_054220816,XP_054220817,XP_054220818,XP_054220819,XP_054220820,XP_054220821,XP_054220822,XP_054220823,XP_054220824,XP_054220825,XP_054220826,XP_054220827,XP_054220828,XP_054220829,XP_054220830,XP_054220831,XP_054220832,XP_054220833,XP_054220834	Q03060
52066699	mouse, laboratory	10090	Rpp30	54364	MGI:1859683			Chr19 30.41 cM	Chr19:36061118-36082173(+)	NM_019428	NP_062301	O88796
52066699	human	9606	RPP30	10556		HGNC:17688	OMIM:606115	Chr10 q23.31	Chr10:90871487-90908556(+)	NM_001104546,NM_006413	NP_006404,NP_001098016	P78346
52066700	mouse, laboratory	10090	Rin2	74030	MGI:1921280			Chr2 71.25 cM	Chr2:145613647-145729536(+)	XM_036162625,NM_001406508,NM_001406509,NM_001406510,XM_006500269,NM_028724	XP_006500332,NP_001393439,NP_083000,NP_001393438,NP_001393437,XP_036018518	Q9D684
52066700	human	9606	RIN2	54453		HGNC:18750	OMIM:610222	Chr20 p11.23	Chr20:19757599-20003571(+)	NM_001378236,NM_001378238,NM_018993,NM_001242581	XP_054179507,XP_054179509,XP_054179510,XP_054179511,XP_054179512,XP_054179513,XP_054179514,XP_054179515,XP_054179516,XP_054179517,XP_054179518,NP_001229510,NP_001365167,NP_061866,XP_006723640,XP_011527557,XP_011527561,XP_016883376,XP_016883377,XP_016883378,XP_016883381,XP_016883382,XP_047296165,XP_047296166,XP_047296167,XP_047296168,XP_047296169,XP_047296170,XP_047296171,XP_047296172,XP_054179508,XP_016883379	Q8WYP3
52066701	mouse, laboratory	10090	Emx2	13797	MGI:95388			Chr19 56.28 cM	Chr19:59447122-59453789(+)	NM_010132,XM_006526657	NP_034262,XP_006526720	Q04744
52066701	human	9606	EMX2	2018		HGNC:3341	OMIM:600035	Chr10 q26.11	Chr10:117542445-117549546(+)	NM_004098,NM_001165924	NP_001159396,NP_004089	Q04743
52066702	mouse, laboratory	10090	Dync1h1	13424	MGI:103147			Chr12 60.7 cM	Chr12:110567886-110633379(+)	NM_030238	NP_084514	Q9JHU4
52066702	human	9606	DYNC1H1	1778		HGNC:2961	OMIM:600112	Chr14 q32.31	Chr14:101964573-102056443(+)	NM_001376	NP_001367	Q14204
52066703	mouse, laboratory	10090	B4galt4	56375	MGI:1928387			Chr16 26.87 cM	Chr16:38562626-38589411(+)	XM_036160037,XM_036160039,NM_019804,XM_011245977,XM_036160038,NM_001285793,XM_006522399	NP_001272722,XP_036015932,NP_062778,XP_036015931,XP_011244279,XP_036015930,XP_006522462	Q9JJ04
52066703	human	9606	B4GALT4	8702		HGNC:927	OMIM:604015	Chr3 q13.32	Chr3:119211628-119240952(-)	NM_003778,NM_212543	XP_054204221,XP_054204232,XP_054204231,XP_054204230,XP_054204229,XP_054204228,XP_054204227,XP_054204226,XP_054204225,XP_054204224,XP_054204223,XP_054204222,XP_054204220,XP_054204219,XP_054204218,XP_054204217,XP_054204216,XP_047305083,XP_047305082,XP_047305081,XP_047305080,XP_047305079,XP_047305078,XP_047305077,XP_047305076,XP_024309575,XP_024309574,XP_024309573,XP_011511562,XP_006713864,XP_006713863,XP_006713862,XP_006713861,XP_005247912,NP_997708,NP_003769	O60513
52066704	mouse, laboratory	10090	Serpinb6e	435350	MGI:2667778			Chr13 13.98 cM	Chr13:34016328-34027391(-)	XM_011244319,NM_001045535	XP_011242621,NP_001039000	
52066704	human	9606	SERPINB6	5269		HGNC:8950	OMIM:173321	Chr6 p25.2	Chr6:2948158-2972375(-)	NM_001374517,NM_001195291,NM_001271822,NM_001271823,NM_001271824,NM_001271825,NM_001297699,NM_001297700,NM_001374515,NM_001374516,NM_004568,NM_001374517,NM_001195291,NM_001271822,NM_001271823,NM_001271824,NM_001271825,NM_001297699,NM_001297700,NM_001374515,NM_001374516,NM_004568,NM_001374517,NM_001195291,NM_001271822,NM_001271823,NM_001271824,NM_001271825,NM_001297699,NM_001297700,NM_001374515,NM_001374516,NM_004568,NM_001374517,NM_001195291,NM_001271822,NM_001271823,NM_001271824,NM_001271825,NM_001297699,NM_001297700,NM_001374515,NM_001374516,NM_004568,NM_001374517,NM_001195291,NM_001271822,NM_001271823,NM_001271824,NM_001271825,NM_001297699,NM_001297700,NM_001374515,NM_001374516,NM_004568	XP_054211613,XP_054211614,XP_047274848,XP_054211611,XP_054211612,XP_047274847,XP_054211610,XP_047274849,XP_054211605,XP_054211606,XP_054211607,XP_054211608,XP_054211609,NP_001182220,NP_001258751,NP_001258752,NP_001258753,NP_001258754,NP_001284628,NP_001284629,NP_001361444,NP_001361445,NP_001361446,NP_004559,XP_011512974,XP_016866430,XP_024302233,XP_047274839,XP_047274840,XP_047274841,XP_047274843,XP_047274844,XP_047274845,XP_047274846,XP_054211613,XP_054211614,XP_047274848,XP_054211611,XP_054211612,XP_047274847,XP_054211610,XP_047274849,XP_054211605,XP_054211606,XP_054211607,XP_054211608,XP_054211609,NP_001182220,NP_001258751,NP_001258752,NP_001258753,NP_001258754,NP_001284628,NP_001284629,NP_001361444,NP_001361445,NP_001361446,NP_004559,XP_011512974,XP_016866430,XP_024302233,XP_047274839,XP_047274840,XP_047274841,XP_047274843,XP_047274844,XP_047274845,XP_047274846,XP_054211613,XP_054211614,XP_047274848,XP_054211611,XP_054211612,XP_047274847,XP_054211610,XP_047274849,XP_054211605,XP_054211606,XP_054211607,XP_054211608,XP_054211609,NP_001182220,NP_001258751,NP_001258752,NP_001258753,NP_001258754,NP_001284628,NP_001284629,NP_001361444,NP_001361445,NP_001361446,NP_004559,XP_011512974,XP_016866430,XP_024302233,XP_047274839,XP_047274840,XP_047274841,XP_047274843,XP_047274844,XP_047274845,XP_047274846,XP_054211613,XP_054211614,XP_047274848,XP_054211611,XP_054211612,XP_047274847,XP_054211610,XP_047274849,XP_054211605,XP_054211606,XP_054211607,XP_054211608,XP_054211609,NP_001182220,NP_001258751,NP_001258752,NP_001258753,NP_001258754,NP_001284628,NP_001284629,NP_001361444,NP_001361445,NP_001361446,NP_004559,XP_011512974,XP_016866430,XP_024302233,XP_047274839,XP_047274840,XP_047274841,XP_047274843,XP_047274844,XP_047274845,XP_047274846,XP_054211613,XP_054211614,XP_047274848,XP_054211611,XP_054211612,XP_047274847,XP_054211610,XP_047274849,XP_054211605,XP_054211606,XP_054211607,XP_054211608,XP_054211609,NP_001182220,NP_001258751,NP_001258752,NP_001258753,NP_001258754,NP_001284628,NP_001284629,NP_001361444,NP_001361445,NP_001361446,NP_004559,XP_011512974,XP_016866430,XP_024302233,XP_047274839,XP_047274840,XP_047274841,XP_047274843,XP_047274844,XP_047274845,XP_047274846	P35237,P35237,P35237,P35237,P35237
